State,District,dmi_equal_weights,rank_equal_weights,health_score,education_score,economic_score,infrastructure_score,social_score
Bihar,Saharsa,78.5571449186221,16.0,0.33391434377164453,0.1409063060083771,0.18346382051426458,0.1267295709033216,0.2871287128712871
ARUNACHAL PRADESH,Tirap,78.32081956338376,17.0,0.4856051872787274,0.23461730865432728,0.01050455327804322,0.009362557846132113,0.34386941477358207
Bihar,Sheikhpura,78.27717816859276,18.0,0.3102666924340515,0.20027816411682897,0.18346382051426458,0.1267295709033216,0.2654028436018957
Gujarat,Banaskantha,78.10669600646187,19.0,0.43425343492573754,0.14746923244011156,0.18346382051426458,0.1267295709033216,0.20274914089347074
Assam,Dhubri,78.04210605273143,20.0,0.34675381263616567,0.14746923244011156,0.18346382051426458,0.1267295709033216,0.2934782608695653
Bihar,Kaimur (Bhabua),77.92342598473654,21.0,0.3426929392446634,0.21696801112656472,0.18346382051426458,0.1267295709033216,0.233974358974359
ARUNACHAL PRADESH,Anjaw,77.80265577830927,22.0,0.4856051872787274,0.2762197797122867,0.0016314511722760141,0.0025413781476640272,0.34386941477358207
MADHYA PRADESH,Jhabua,77.79497528891733,23.0,0.4856051872787274,0.09304652326163088,0.12887618364760695,0.058853926592586814,0.34386941477358207
Bihar,Sheohar,77.77084399935099,24.0,0.3799442386747528,0.14746923244011156,0.18346382051426458,0.1267295709033216,0.2738509375
ARUNACHAL PRADESH,Upper Siang,77.74098119672756,25.0,0.4856051872787274,0.2762197797122867,0.0030965794160484643,0.004159978982976709,0.34386941477358207
ARUNACHAL PRADESH,Tawang,77.67335503329437,26.0,0.4856051872787274,0.2762197797122867,0.005573445910566512,0.005064420660118485,0.34386941477358207
Bihar,Madhepura,77.64532153013707,27.0,0.3456376287671782,0.14746923244011156,0.18346382051426458,0.10353437579221073,0.33762886597938147
ARUNACHAL PRADESH,East Kameng,77.62832312777088,28.0,0.4856051872787274,0.2762197797122867,0.006266972152930152,0.006622489693929749,0.34386941477358207
JAMMU AND KASHMIR,Ramban,77.46749906999032,29.0,0.4856051872787274,0.2494580623645155,0.026424441064701508,0.021267941018957542,0.34386941477358207
Karnataka,Yadgir,77.4165930385534,30.0,0.43472222222222223,0.14456881918706999,0.18346382051426458,0.11366823340152091,0.2527472527472528
JAMMU AND KASHMIR,Kargil,77.37461987292863,31.0,0.4856051872787274,0.2762197797122867,0.009461327222390039,0.016113297366582277,0.34386941477358207
ARUNACHAL PRADESH,Changlang,77.36638849971051,32.0,0.4856051872787274,0.2762197797122867,0.01275763699950156,0.013228556250376469,0.34386941477358207
ARUNACHAL PRADESH,Dibang Valley,77.31654846546063,33.0,0.4856051872787274,0.29943342776203963,4.3161155611438844e-05,0.0008457776712614441,0.3482450228593286
JHARKHAND,Pakur,77.29911168091004,34.0,0.4856051872787274,0.1737535434383859,0.11307705748723125,0.018739212976570732,0.34386941477358207
MIZORAM,Lawngtlai,77.22935448994987,35.0,0.4856051872787274,0.28951841359773367,0.009205217102755243,0.010334042749708297,0.34386941477358207
ARUNACHAL PRADESH,West Kameng,77.19236144165131,36.0,0.4856051872787274,0.29348441926345614,0.008439070787249052,0.008983835814420008,0.34386941477358207
Assam,Udalguri,77.13085682405058,37.0,0.3710193743402016,0.14746923244011156,0.18346382051426458,0.1267295709033216,0.31477516059957167
ORISSA,Malkangiri,77.12101778966584,38.0,0.4856051872787274,0.18575954643988657,0.10876624141132778,0.019948720613184267,0.34386941477358207
JAMMU AND KASHMIR,Kishtwar,76.95961399539621,39.0,0.4856051872787274,0.2762197797122867,0.027503673065132045,0.018821245400461144,0.34386941477358207
Bihar,Nawada,76.90400865761603,40.0,0.2964371215321785,0.30118110236220474,0.18346382051426458,0.1267295709033216,0.24698795180722888
JAMMU AND KASHMIR,Ganderbal,76.90039184776998,41.0,0.4856051872787274,0.2762197797122867,0.01870446340095993,0.030581562445945145,0.34386941477358207
NAGALAND,Mon,76.89803954038537,42.0,0.4856051872787274,0.2762197797122867,0.036921465285881104,0.012482175930254212,0.34386941477358207
BIHAR,Sheohar,76.86237747448452,43.0,0.4856051872787274,0.24112056028014006,0.06256616732367239,0.023719796619652123,0.34386941477358207
Assam,Goalpara,76.81181031512503,44.0,0.4342309368191722,0.14746923244011156,0.18346382051426458,0.1267295709033216,0.2675159235668789
Bihar,Supaul,76.81169598565867,45.0,0.3856839265254832,0.1409063060083771,0.18346382051426458,0.11108221591820004,0.3382789317507418
HARYANA,Mewat,76.80738669020766,46.0,0.4856051872787274,0.216608304152076,0.05756844881132879,0.055979310473903296,0.34386941477358207
Gujarat,Patan,76.76953704047564,47.0,0.4346297548877509,0.14746923244011156,0.18346382051426458,0.1267295709033216,0.2692307692307693
Assam,Darrang,76.70302291365164,48.0,0.3850805830328804,0.18915159944367183,0.18346382051426458,0.1267295709033216,0.28042328042328035
JAMMU AND KASHMIR,Shupiyan,76.68114704193188,49.0,0.4856051872787274,0.2762197797122867,0.025407034284941774,0.034841231853867685,0.34386941477358207
UTTAR PRADESH,Shrawasti,76.61346832863134,50.0,0.4856051872787274,0.15207603801900949,0.14790459889418017,0.03987134460293383,0.34386941477358207
