State,District,health_score,education_score,economic_score,infrastructure_score,social_score,dmi_equal_weights,rank_equal_weights,dmi_poverty_first,rank_poverty_first,dmi_human_development,rank_human_development
ARUNACHAL PRADESH,Tawang,,0.10519219038031595,0.13094600888479865,0.14933047886532624,0.09489886233838431,,,,,,
ARUNACHAL PRADESH,Tirap,,0.07545529150079341,0.08746179082402089,0.13961459595999978,0.1351036574984908,,,,,,
ARUNACHAL PRADESH,Upper Siang,,0.1276584907338886,0.10101340938935549,0.12610526917209522,0.10273577832500193,,,,,,
ARUNACHAL PRADESH,Upper Subansiri,,0.15791122888564252,0.06447932465317792,0.10031218552205372,0.12501309342332131,,,,,,
ARUNACHAL PRADESH,West Kameng,,0.15859951237023379,0.10714783773763892,0.13213936328679324,0.13373566822871652,,,,,,
ARUNACHAL PRADESH,West Siang,,0.172844444991942,0.0821298984256735,0.12868688124794303,0.14286718428569153,,,,,,
ASSAM,Baksa,,0.2267325344835701,0.15426618780729648,0.054409581856449216,0.04866937774245431,,,,,,
ASSAM,Barpeta,,0.209939261835403,0.1365232824161655,0.10022101494190692,0.12850751166470506,,,,,,
ASSAM,Bongaigaon,,0.21337697654294718,0.0837665831996534,0.0785736820379128,0.12036145848262564,,,,,,
ASSAM,Cachar,,0.3202712572871588,0.13138925825227293,0.16042449560117866,0.18040260937606317,,,,,,
ASSAM,Chirang,,0.1673708280797271,0.09820501638091601,0.04013784745162299,0.06275095105528845,,,,,,
ASSAM,Darrang,,0.17841772387245167,0.10537357001307336,0.062275348826460374,0.07659332277972491,,,,,,
ASSAM,Dhemaji,,0.22409049288763067,0.16248388229226274,0.049582445416597766,0.06682861765101866,,,,,,
ASSAM,Dhubri,,0.17919194735700833,0.1650381085710417,0.08084501572832072,0.145822507560524,,,,,,
ASSAM,Dibrugarh,,0.2895767902260077,0.1624685902831813,0.13999200469026724,0.16199141437172732,,,,,,
ASSAM,Dima Hasao,,0.22926028611699678,0.07273705651902905,0.09074518535406112,0.19017389226922848,,,,,,
ASSAM,Goalpara,,0.20805397482548918,0.11264426932700866,0.08730539741447554,0.11889818894867821,,,,,,
ASSAM,Golaghat,,0.28576379427145265,0.1744167257784641,0.10285331446371171,0.10015400848921259,,,,,,
ASSAM,Hailakandi,,0.2255925534758247,0.06485953790067879,0.09975967741203702,0.07566450932959252,,,,,,
ASSAM,Jorhat,,0.3236221202672692,0.17084450243797758,0.12567997005208267,0.1591016591170003,,,,,,
ASSAM,Kamrup,,0.29226994583553007,0.18297904373514254,0.10846853056052097,0.11874163644628591,,,,,,
ASSAM,Kamrup Metropolitan,,0.38386458270037066,0.10885480431034338,0.23247690850432517,0.484766167505599,,,,,,
ASSAM,Karbi Anglong,,0.21358262882405948,0.14829296827968005,0.07422604797155541,0.11640158542994011,,,,,,
ASSAM,Karimganj,,0.27438365676751764,0.09617711911154837,0.11603075990695236,0.11072376472836401,,,,,,
ASSAM,Kokrajhar,,0.19101643837759913,0.12234680660585395,0.05378174177871213,0.07832228309728864,,,,,,
ASSAM,Lakhimpur,,0.27076980358872255,0.16001309561660068,0.07672904444662007,0.09968427099755486,,,,,,
ASSAM,Morigaon,,0.21029948214059152,0.11903886387208777,0.07581527656290321,0.09205180193091947,,,,,,
ASSAM,Nagaon,,0.3202038165919164,0.22769776748160717,0.14782128958691884,0.2050854195167924,,,,,,
ASSAM,Nalbari,,0.2785073089257238,0.07992695654140844,0.08880066244522898,0.0936469168697042,,,,,,
ASSAM,Sivasagar,,0.3113215325770124,0.15474654882493946,0.12049404638107376,0.10731150502563122,,,,,,
ASSAM,Sonitpur,,0.2513462694190469,0.2016366139365213,0.11628917877543764,0.14558480975275023,,,,,,
ASSAM,Tinsukia,,0.24046530425332482,0.15877238742008107,0.1371968567951732,0.1788135270767373,,,,,,
