State,District,health_score,education_score,economic_score,infrastructure_score,social_score,dmi_equal_weights,rank_equal_weights,dmi_poverty_first,rank_poverty_first,dmi_human_development,rank_human_development
RAJASTHAN,Jaipur,0.4856051872787274,0.5120082415813535,0.4643168999010089,0.4428054889392464,0.3533400556907222,54.83848253217882,972.0,54.520939401608906,971.0,51.924021323535975,964.0
RAJASTHAN,Jaisalmer,0.4856051872787274,0.2762197797122867,0.0881629108149027,0.04424029849729405,0.34386941477358207,75.23804817846414,131.0,79.22446336347554,123.0,69.85193243425012,150.0
RAJASTHAN,Jalor,0.4856051872787274,0.2762197797122867,0.21720286965701466,0.09692561749401299,0.34386941477358207,71.60354262168752,445.0,73.27258522484028,563.0,67.38947986165125,310.0
RAJASTHAN,Jhalawar,0.4856051872787274,0.2762197797122867,0.19030233478408962,0.09675764442158058,0.34386941477358207,72.14491278059467,393.0,74.35112621584376,467.0,67.79466761546944,266.0
RAJASTHAN,Jhunjhunun,0.4856051872787274,0.37603954661696154,0.25001608296766575,0.16158736108415545,0.34386941477358207,67.65764814557815,776.0,69.49283403499197,810.0,62.75697238442643,756.0
RAJASTHAN,Jodhpur,0.4856051872787274,0.2762197797122867,0.34290868780570105,0.2353499267918227,0.3448,66.30232836822924,849.0,66.1540290810294,907.0,64.11499657031077,641.0
RAJASTHAN,Karauli,0.4856051872787274,0.2762197797122867,0.1645394567322272,0.08404528357338786,0.34386941477358207,72.91441755859577,327.0,75.57232675064115,371.0,68.30823439472931,221.0
RAJASTHAN,Kota,0.4856051872787274,0.37603954661696154,0.15620086632477884,0.1389540292528929,0.3482450228593286,69.89910695334622,616.0,73.5193085568902,539.0,64.36865591195364,619.0
RAJASTHAN,Nagaur,0.4856051872787274,0.2762197797122867,0.36878864425016145,0.19072570237665099,0.34386941477358207,66.69582543217183,826.0,65.80215296787483,916.0,64.17769239392767,636.0
RAJASTHAN,Pali,0.4856051872787274,0.2762197797122867,0.21490648472591792,0.1623393460341772,0.34386941477358207,70.34119574950617,585.0,72.38323469398168,633.0,66.76978835021605,369.0
RAJASTHAN,Pratapgarh,0.4856051872787274,0.2762197797122867,0.129804455212033,0.0456860349684517,0.34386941477358207,74.37630256109838,202.0,77.53711554052296,221.0,69.21285190358158,177.0
RAJASTHAN,Rajsamand,0.4856051872787274,0.2762197797122867,0.1547900609193962,0.09138484700121667,0.34386941477358207,72.96261420629581,322.0,75.85220913173696,351.0,68.38107969764349,213.0
RAJASTHAN,Sawai Madhopur,0.4856051872787274,0.2762197797122867,0.14342182877103488,0.08746201180580272,0.34386941477358207,73.26843555317133,292.0,76.36578094560262,309.0,68.59083153182304,201.0
RAJASTHAN,Sikar,0.4856051872787274,0.3495750708215297,0.25487677289944777,0.1852951436805729,0.34386941477358207,67.6155682109228,778.0,69.3397568357059,817.0,63.37324086232565,715.0
RAJASTHAN,Sirohi,0.4856051872787274,0.2762197797122867,0.09924523634403212,0.07072793458638096,0.34386941477358207,74.48664894609982,196.0,78.38385580097406,167.0,69.4208211904223,165.0
RAJASTHAN,Tonk,0.4856051872787274,0.2762197797122867,0.1482580783198116,0.09552847361458688,0.34386941477358207,73.01038132602011,315.0,76.05133403651979,333.0,68.43762317050354,208.0
RAJASTHAN,Udaipur,0.4856051872787274,0.2762197797122867,0.3791390016185719,0.1635315958841288,0.34386941477358207,67.03270041465406,811.0,65.79605027052624,917.0,64.29437809832673,629.0
SIKKIM,East District,0.4856051872787274,0.37603954661696154,0.028989575068848333,0.025879374869451507,0.3482450228593286,74.70482586613365,179.0,80.30388002287903,88.0,67.407571824627,308.0
SIKKIM,North  District,0.4856051872787274,0.37603954661696154,0.004768431489350248,0.00512812445167625,0.34386941477358207,75.69178590779406,91.0,81.64962864361178,31.0,68.00027952292595,244.0
